Redshift (z),Hubble Parameter H(z) (km/s/Mpc),Uncertainty σH (km/s/Mpc),Reference
0.07,69.0,19.6,Zhang et al. (2014)
0.09,69.0,12.0,Jimenez et al. (2003)
0.12,68.6,26.2,Zhang et al. (2014)
0.17,83.0,8.0,Simon et al. (2005)
0.1791,75.0,4.0,Moresco et al. (2012)
0.1993,75.0,5.0,Moresco et al. (2012)
0.2,72.9,29.6,Zhang et al. (2014)
0.27,77.0,14.0,Simon et al. (2005)
0.28,88.8,36.6,Zhang et al. (2014)
0.3519,83.0,14.0,Moresco et al. (2012)
0.3802,83.0,13.5,Moresco et al. (2016)
0.4,95.0,17.0,Simon et al. (2005)
0.4004,77.0,10.2,Moresco et al. (2016)
0.4247,87.1,11.2,Moresco et al. (2016)
0.4497,92.8,12.9,Moresco et al. (2016)
0.4783,80.9,9.0,Moresco et al. (2016)
0.48,97.0,62.0,Stern et al. (2010)
0.5929,104.0,13.0,Moresco et al. (2012)
0.6797,92.0,8.0,Moresco et al. (2012)
0.7812,105.0,12.0,Moresco et al. (2012)
0.8754,125.0,17.0,Moresco et al. (2012)
0.88,90.0,40.0,Stern et al. (2010)
0.9,117.0,23.0,Simon et al. (2005)
1.037,154.0,20.0,Moresco et al. (2012)
1.3,168.0,17.0,Simon et al. (2005)
1.363,160.0,33.6,Moresco (2015)
1.43,177.0,18.0,Simon et al. (2005)
1.53,140.0,14.0,Simon et al. (2005)
1.75,202.0,40.0,Simon et al. (2005)
1.965,186.5,50.4,Moresco (2015)
