Temperature (K),Velocity (m/s),Relative ΔGab (%)
0.01,100000.0,9.816452313510128e-06
0.01,402020.202020202,0.0001586538742736201
0.01,704040.404040404,0.00048657624329445355
0.01,1006060.606060606,0.0009935855563010614
0.01,1308080.808080808,0.0016796849007706723
0.01,1610101.01010101,0.002544878454848883
0.01,1912121.212121212,0.0035891714874658463
0.01,2214141.414141414,0.004812570358336272
0.01,2516161.616161616,0.006215082518288628
0.01,2818181.818181818,0.007796716509032767
0.01,3120202.02020202,0.009557481963857053
0.01,3422222.222222222,0.011497389607376625
0.01,3724242.424242424,0.013616451255998155
0.01,4026262.626262626,0.015914679817977936
0.01,4328282.828282828,0.01839208929404156
0.01,4630303.03030303,0.021048694777054722
0.01,4932323.232323232,0.023884512453049553
0.01,5234343.434343434,0.026899559600953506
0.01,5536363.636363636,0.03009385459332523
0.01,5838383.838383839,0.03346741689645139
0.01,6140404.04040404,0.03702026707102444
0.01,6442424.242424242,0.04075242677233628
0.01,6744444.444444444,0.04466391875080107
0.01,7046464.646464646,0.048754766852361964
0.01,7348484.848484848,0.053024996019188156
0.01,7650505.05050505,0.05747463228982987
0.01,7952525.252525252,0.06210370280008976
0.01,8254545.454545454,0.066912235783294
0.01,8556565.656565657,0.07190026057110561
0.01,8858585.858585859,0.07706780759400862
0.01,9160606.06060606,0.08241490838179213
0.01,9462626.262626262,0.08794159556447989
0.01,9764646.464646464,0.09364790287285306
0.01,10066666.666666666,0.09953386513899254
0.01,10368686.868686868,0.10559951829724712
0.01,10670707.07070707,0.11184489938481448
0.01,10972727.272727272,0.11827004654251577
0.01,11274747.474747473,0.12487499901564765
0.01,11576767.676767677,0.13165979715462134
0.01,11878787.878787879,0.13862448241591152
0.01,12180808.08080808,0.14576909736288896
0.01,12482828.282828283,0.15309368566671142
0.01,12784848.484848484,0.16059829210717552
0.01,13086868.686868686,0.16828296257354966
0.01,13388888.888888888,0.17614774406571634
0.01,13690909.09090909,0.18419268469490815
0.01,13992929.292929292,0.19241783368486962
0.01,14294949.494949494,0.20082324137276733
0.01,14596969.696969695,0.20940895921023575
0.01,14898989.8989899,0.2181750397644421
0.01,15201010.1010101,0.22712153671917099
0.01,15503030.303030303,0.2362485048759087
0.01,15805050.505050505,0.24555600015496645
0.01,16107070.707070706,0.25504407959662284
0.01,16409090.909090908,0.2647128013622471
0.01,16711111.11111111,0.2745622247356739
0.01,17013131.313131314,0.2845924101242103
0.01,17315151.515151516,0.29480341905991414
0.01,17617171.717171717,0.30519531420098783
0.01,17919191.91919192,0.3157681593329406
0.01,18221212.12121212,0.3265220193698859
0.01,18523232.323232323,0.33745696035595474
0.01,18825252.525252525,0.3485730494667098
0.01,19127272.727272727,0.3598703550103457
0.01,19429292.92929293,0.37134894642916083
0.01,19731313.13131313,0.38300889430116464
0.01,20033333.333333332,0.39485027034125897
0.01,20335353.535353534,0.4068731474029032
0.01,20637373.737373736,0.4190775994795283
0.01,20939393.939393938,0.43146370170612414
0.01,21241414.14141414,0.44403153036075066
0.01,21543434.34343434,0.4567811628660865
0.01,21845454.545454543,0.4697126777911527
0.01,22147474.747474745,0.4828261548527845
0.01,22449494.949494947,0.4961216749173546
0.01,22751515.151515152,0.5095993200024387
0.01,23053535.353535354,0.5232591732785583
0.01,23355555.555555556,0.5371013190709042
0.01,23657575.757575758,0.5511258428607888
0.01,23959595.95959596,0.5653328312880088
0.01,24261616.16161616,0.5797223721521615
0.01,24563636.363636363,0.5942945544145627
0.01,24865656.565656565,0.6090494682002019
0.01,25167676.767676767,0.623987204799621
0.01,25469696.96969697,0.6391078566706571
0.01,25771717.17171717,0.6544115174405725
