l,Dl_obs,Dl_LCDM,Dl_RDM_DES,Dl_RDM_Planck
2.0,225.895,461.8335290149005,725.5274608424721,725.5274608424721
3.0,936.92,473.40693958769583,743.7089627444198,743.7089627444198
4.0,692.238,485.22185829731444,762.2698671242601,762.2698671242601
5.0,1501.705,497.2819206014498,781.2158851835923,781.2158851835923
6.0,557.611,509.5907780702397,800.5527534362108,800.5527534362108
7.0,1152.643,522.1520973089489,820.2862320156717,820.2862320156717
8.0,615.846,534.9695588463536,840.4221029289748,840.4221029289748
9.0,697.821,548.0468559886496,860.9661682560862,860.9661682560862
10.0,803.658,561.3876936387302,881.924248295057,881.924248295057
11.0,869.58,574.9957870807074,909.7095719811263,909.7095719811263
12.0,764.074,588.8748607295599,706.6088121031966,706.6088121031966
13.0,599.003,603.028646845821,693.4044665349794,693.4044665349794
14.0,808.139,617.4608842152434,694.8272394744782,694.8272394744782
15.0,1022.111,632.1753167933928,701.4874738805657,701.4874738805657
16.0,621.292,647.1756923151546,710.909320971348,710.909320971348
17.0,1035.378,662.4657608691604,722.0837022560174,722.0837022560174
18.0,674.593,678.0492734371592,734.5058940202505,734.5058940202505
19.0,951.642,693.9299803983964,747.8905517350124,747.8905517350124
20.0,659.863,710.1116299990773,762.0626114071339,762.0626114071339
21.0,601.924,726.5979667870247,776.9082401490951,776.9082401490951
22.0,605.295,743.3927300116713,792.3501755711,792.3501755711
23.0,748.519,760.4996519895429,808.3342555832234,808.3342555832234
24.0,850.496,777.9224564354312,824.8215728553673,824.8215728553673
25.0,814.268,795.6648567594729,841.7836646279566,841.7836646279566
26.0,823.803,813.7305543303886,859.1994368296212,859.1994368296212
27.0,1004.022,832.1232367051564,877.0531268055435,877.0531268055435
28.0,1149.889,850.8465758254356,895.3329130255112,895.3329130255112
29.0,979.567,869.9042261810769,914.0299415607979,914.0299415607979
30.0,1102.80565,889.2998229410932,933.1376289112109,933.1376289112109
31.0,764.235896,909.0369800524921,952.6511527514956,952.6511527514956
32.0,1543.85108,929.1192883074079,972.5670733291578,972.5670733291578
33.0,1077.26738,949.5503133789958,992.8830475021138,992.8830475021138
34.0,979.159409,970.3335938265919,1013.5976096276227,1013.5976096276227
35.0,739.911555,991.4726390706713,1034.7100014603843,1034.7100014603843
36.0,1122.51626,1012.9709273381621,1056.2200384958091,1056.2200384958091
37.0,1523.72049,1034.8319035787301,1078.1280037687798,1078.1280037687798
38.0,1285.91266,1057.0589773526488,1100.4345625814872,1100.4345625814872
39.0,1243.83149,1079.6555206909327,1123.1406933589258,1123.1406933589258
40.0,1715.07099,1102.6248659284333,1146.2476310563839,1146.2476310563839
41.0,1427.08779,1125.970303510628,1169.756820426043,1169.756820426043
42.0,1391.08758,1149.6950797748734,1193.6698770935384,1193.6698770935384
43.0,1235.15157,1173.8023947069285,1217.988554870119,1217.988554870119
44.0,1399.71962,1198.2953996735848,1242.7147180800162,1242.7147180800162
45.0,1050.22476,1223.1771951322735,1267.8503179491079,1267.8503179491079
46.0,1148.97828,1248.450828318561,1293.397372303487,1293.397372303487
47.0,1939.3329,1274.1192909124761,1319.357947981761,1319.357947981761
48.0,984.32799,1300.1855166846376,1345.73414548484,1345.73414548484
49.0,1720.0661,1326.6523791232053,1372.5280854803875,1372.5280854803875
50.0,1707.30702,1353.5226890426886,1399.7418968523302,1399.7418968523302
51.0,1039.42852,1380.7991921757027,1427.3777060436742,1427.3777060436742
52.0,1603.6105,1408.4845667487812,1455.437627486814,1455.437627486814
53.0,1118.55429,1436.5814210433905,1483.9237549522813,1483.9237549522813
54.0,1173.86271,1465.092290943339,1512.8381536764102,1512.8381536764102
55.0,1609.06096,1494.019637469781,1542.182853152289,1542.182853152289
56.0,1523.29448,1523.3658443050786,1571.9598404877875,1571.9598404877875
57.0,1715.71938,1553.13321530679,1602.1710542502874,1602.1710542502874
58.0,1742.61858,1583.3239720131082,1632.8183787307867,1632.8183787307867
59.0,1467.14325,1613.940251141088,1663.9036385707395,1663.9036385707395
60.0,1790.4516,1644.9841020790418,1695.4285937039112,1695.4285937039112
61.0,1359.15415,1676.4574843745118,1727.3949345728843,1727.3949345728843
62.0,2165.2271,1708.362265219254,1759.8042775860295,1759.8042775860295
63.0,1742.10583,1740.7002169327116,1792.6581607859314,1792.6581607859314
64.0,1242.4852,1773.4730144454572,1825.9580397045636,1825.9580397045636
65.0,1853.0615,1806.6822327841523,1859.7052833842372,1859.7052833842372
66.0,1626.61637,1840.329344559561,1893.9011705463838,1893.9011705463838
67.0,1659.98919,1874.4157174592065,1928.5468858929291,1928.5468858929291
68.0,1766.42864,1908.9426117462776,1963.64351652723,1963.64351652723
69.0,2277.66406,1943.9111777664164,1999.1920484834802,1999.1920484834802
70.0,1860.80088,1979.322453464049,2035.193363355148,2035.193363355148
71.0,1783.70715,2015.177361909939,2071.6482350144192,2071.6482350144192
72.0,1511.90025,2051.4767088416647,2108.5573264158306,2108.5573264158306
73.0,2701.12709,2088.221180218759,2145.9211864783797,2145.9211864783797
74.0,2013.69273,2125.411339794246,2183.7402470412517,2183.7402470412517
75.0,1879.90931,2163.047626704355,2222.014819889162,2222.014819889162
76.0,1875.45523,2201.130353078187,2260.7450938439647,2260.7450938439647
77.0,1919.45593,2239.6597016691526,2299.931131919809,2299.931131919809
78.0,1664.60733,2278.63572350999,2339.5728685396366,2339.5728685396366
79.0,1496.46853,2318.0583355932085,2379.6701068112966,2379.6701068112966
80.0,2318.10662,2357.9273185788074,2420.222515861948,2420.222515861948
81.0,2045.53573,2398.2423145311323,2461.229628229787,2461.229628229787
82.0,2821.4292,2439.0028246867496,2502.690837312446,2502.690837312446
83.0,2135.83446,2480.2082072552253,2544.605394871703,2544.605394871703
84.0,1542.66778,2521.8576752546996,2586.97240859436,2586.97240859436
85.0,2268.6746,2563.950294384168,2629.7908397093997,2629.7908397093997
