v/c,"Einstein Radius (ΛCDM, arcsec)","Einstein Radius (DK-RD2, arcsec)","Einstein Radius (Gab, arcsec)","Gab(T,v) [m³/kg/s²]"
0.1,6.812745531868312e-09,8.169638914909274e-07,8.178548777349675e-07,6.688866010348786e-11
0.15,6.812745531868312e-09,1.2254458372363911e-06,1.2284699478115898e-06,6.707281834116491e-11
0.19,6.812745531868312e-09,1.5522313938327623e-06,1.5584155900820324e-06,6.727587677038029e-11
0.24,6.812745531868312e-09,1.960713339578226e-06,1.9733022344474905e-06,6.760280743881004e-11
0.29,6.812745531868312e-09,2.3691952853236897e-06,2.3916858841874123e-06,6.801618749846999e-11
0.33,6.812745531868312e-09,2.6959808419200607e-06,2.7295215391550474e-06,6.841402968513626e-11
0.38,6.812745531868312e-09,3.1044627876655247e-06,3.1565908518239944e-06,6.900322580207015e-11
0.43,6.812745531868312e-09,3.5129447334109882e-06,3.5900757858531564e-06,6.970602567966013e-11
0.47,6.812745531868312e-09,3.839730290007359e-06,3.942420329122458e-06,7.03606973810685e-11
0.52,6.812745531868312e-09,4.248212235752823e-06,4.391216495333903e-06,7.13120647518216e-11
0.57,6.812745531868312e-09,4.656694181498286e-06,4.851274057983446e-06,7.243724218425108e-11
0.62,6.812745531868312e-09,5.06517612724375e-06,5.3253063372235295e-06,7.377442139769272e-11
0.66,6.812745531868312e-09,5.391961683840121e-06,5.717021729153262e-06,7.503291425989568e-11
0.71,6.812745531868312e-09,5.8004436295855845e-06,6.226507945485476e-06,7.690815551516321e-11
0.76,6.812745531868312e-09,6.208925575331049e-06,6.764988549137663e-06,7.923315455326123e-11
0.8,6.812745531868312e-09,6.5357111319274195e-06,7.22439649390954e-06,8.154985109564447e-11
0.85,6.812745531868312e-09,6.9441930776728835e-06,7.851449089635047e-06,8.532214921402215e-11
0.9,6.812745531868312e-09,7.3526750234183475e-06,8.576583241985128e-06,9.081207420580264e-11
0.94,6.812745531868312e-09,7.679460580014719e-06,9.301419939115955e-06,9.791355011745569e-11
0.99,6.812745531868312e-09,8.087942525760182e-06,1.1002496050980334e-05,1.235128245605936e-10
