z,mu_obs,mu_err,mu_model,residual,chi2_total,mse,label
0.00122,28.9987,1.51645,28.19726775540645,0.8014322445935491,,,Pantheon+ SH0ES
0.00122,29.0559,1.51747,28.19726775540645,0.8586322445935508,,,Pantheon+ SH0ES
0.00256,30.7233,0.782372,29.808341867455923,0.9149581325440757,,,Pantheon+ SH0ES
0.00256,30.7449,0.799068,29.808341867455923,0.9365581325440786,,,Pantheon+ SH0ES
0.00299,30.7757,0.881212,30.146034098680477,0.6296659013195267,,,Pantheon+ SH0ES
0.00317,30.7946,0.614535,30.27319876170269,0.5214012382973046,,,Pantheon+ SH0ES
0.00331,30.4604,0.594683,30.367216818183444,0.0931831818165562,,,Pantheon+ SH0ES
0.00331,30.5528,0.580251,30.367216818183444,0.1855831818165576,,,Pantheon+ SH0ES
0.00331,30.4013,0.578445,30.367216818183444,0.0340831818165554,,,Pantheon+ SH0ES
0.00331,30.5107,0.578546,30.367216818183444,0.1434831818165562,,,Pantheon+ SH0ES
0.00333,31.5011,0.591006,30.380322927232456,1.1207770727675452,,,Pantheon+ SH0ES
0.00349,31.7933,0.55272,30.48242814434928,1.3108718556507206,,,Pantheon+ SH0ES
0.00349,31.4967,0.545492,30.48242814434928,1.0142718556507226,,,Pantheon+ SH0ES
0.00359,31.6969,0.550993,30.54389775353326,1.153002246466741,,,Pantheon+ SH0ES
0.00384,30.9999,0.566505,30.690392784047035,0.3095072159529657,,,Pantheon+ SH0ES
0.00407,31.3933,0.476404,30.816994840212672,0.5763051597873279,,,Pantheon+ SH0ES
0.00407,31.3779,0.479276,30.816994840212672,0.5609051597873282,,,Pantheon+ SH0ES
0.00432,31.499,0.514259,30.94675240249687,0.5522475975031291,,,Pantheon+ SH0ES
0.00432,31.5611,0.530838,30.94675240249687,0.6143475975031301,,,Pantheon+ SH0ES
0.00465,31.9309,0.442017,31.10700856611699,0.8238914338830128,,,Pantheon+ SH0ES
0.00465,32.033,0.420403,31.10700856611699,0.9259914338830127,,,Pantheon+ SH0ES
0.00482,31.2476,0.558603,31.18519017559348,0.0624098244065223,,,Pantheon+ SH0ES
0.00483,31.1331,0.446882,31.18970305859537,-0.0566030585953711,,,Pantheon+ SH0ES
0.00483,31.6525,0.564724,31.18970305859537,0.4627969414046298,,,Pantheon+ SH0ES
0.00483,31.2234,0.410577,31.18970305859537,0.0336969414046315,,,Pantheon+ SH0ES
0.00483,31.34,0.562589,31.18970305859537,0.1502969414046298,,,Pantheon+ SH0ES
0.00483,31.7635,0.574442,31.18970305859537,0.5737969414046304,,,Pantheon+ SH0ES
0.00488,31.4473,0.448264,31.212128613586472,0.2351713864135263,,,Pantheon+ SH0ES
0.00488,31.539,0.407028,31.212128613586472,0.3268713864135293,,,Pantheon+ SH0ES
0.00538,31.6512,0.514401,31.42456155243837,0.2266384475616298,,,Pantheon+ SH0ES
0.00548,31.7282,0.501431,31.46467703154817,0.2635229684518307,,,Pantheon+ SH0ES
0.0057,31.9117,0.469628,31.550421379525524,0.3612786204744758,,,Pantheon+ SH0ES
0.0057,31.8985,0.483668,31.550421379525524,0.3480786204744746,,,Pantheon+ SH0ES
0.00571,31.6799,0.375913,31.55424004256634,0.1256599574336583,,,Pantheon+ SH0ES
0.00571,31.6292,0.385756,31.55424004256634,0.0749599574336592,,,Pantheon+ SH0ES
0.00587,31.7403,0.491367,31.614448379080137,0.1258516209198639,,,Pantheon+ SH0ES
0.00588,32.1822,0.339643,31.618156899487133,0.564043100512869,,,Pantheon+ SH0ES
0.00592,32.4685,0.487055,31.63292838547931,0.8355716145206884,,,Pantheon+ SH0ES
0.00602,31.9404,0.344335,31.669426248956896,0.2709737510431047,,,Pantheon+ SH0ES
0.00602,32.0666,0.343707,31.669426248956896,0.3971737510431055,,,Pantheon+ SH0ES
0.00602,31.9102,0.350249,31.669426248956896,0.240773751043104,,,Pantheon+ SH0ES
0.00616,30.9079,0.524992,31.7195208320008,-0.8116208320007949,,,Pantheon+ SH0ES
0.00616,31.1857,0.452235,31.7195208320008,-0.5338208320007958,,,Pantheon+ SH0ES
0.00625,32.0667,0.32593,31.751128856016777,0.3155711439832203,,,Pantheon+ SH0ES
0.00625,32.0023,0.36156,31.751128856016777,0.2511711439832211,,,Pantheon+ SH0ES
0.00625,32.0999,0.322811,31.751128856016777,0.348771143983221,,,Pantheon+ SH0ES
0.00625,32.0337,0.339166,31.751128856016777,0.2825711439832261,,,Pantheon+ SH0ES
0.0063,32.0754,0.533991,31.76849345192264,0.3069065480773645,,,Pantheon+ SH0ES
0.0063,32.0843,0.537335,31.76849345192264,0.3158065480773615,,,Pantheon+ SH0ES
0.0063,32.0203,0.538159,31.76849345192264,0.2518065480773614,,,Pantheon+ SH0ES
0.00631,32.8333,0.562902,31.77194988725797,1.0613501127420264,,,Pantheon+ SH0ES
0.00634,32.4001,0.482567,31.7822865382156,0.6178134617844009,,,Pantheon+ SH0ES
0.00648,32.4608,0.318474,31.829888653756957,0.630911346243046,,,Pantheon+ SH0ES
0.00648,32.4338,0.32229,31.829888653756957,0.603911346243045,,,Pantheon+ SH0ES
0.00665,31.7321,0.531169,31.886332317935327,-0.1542323179353282,,,Pantheon+ SH0ES
0.00668,31.2217,0.420706,31.896143538150085,-0.6744435381500864,,,Pantheon+ SH0ES
0.00673,32.3593,0.359446,31.912398432890413,0.4469015671095846,,,Pantheon+ SH0ES
0.00676,31.9733,0.415464,31.922093720324227,0.051206279675771,,,Pantheon+ SH0ES
0.00677,32.1951,0.34053,31.92531595986474,0.2697840401352565,,,Pantheon+ SH0ES
0.00677,32.1729,0.371125,31.92531595986474,0.2475840401352584,,,Pantheon+ SH0ES
0.00677,32.2048,0.34795,31.92531595986474,0.2794840401352587,,,Pantheon+ SH0ES
0.00692,32.4405,0.439634,31.97308869853979,0.4674113014602099,,,Pantheon+ SH0ES
0.0071,32.3193,0.325586,32.02907263352004,0.2902273664799608,,,Pantheon+ SH0ES
0.0071,32.3327,0.348317,32.02907263352004,0.3036273664799651,,,Pantheon+ SH0ES
0.0071,32.3221,0.322655,32.02907263352004,0.2930273664799614,,,Pantheon+ SH0ES
0.00719,32.4423,0.300309,32.05653664581917,0.3857633541808312,,,Pantheon+ SH0ES
0.00719,32.4642,0.300269,32.05653664581917,0.4076633541808263,,,Pantheon+ SH0ES
0.00747,32.7943,0.289134,32.1398413633317,0.6544586366683021,,,Pantheon+ SH0ES
0.00747,32.7423,0.294759,32.1398413633317,0.6024586366683025,,,Pantheon+ SH0ES
0.00747,32.7685,0.292411,32.1398413633317,0.6286586366683053,,,Pantheon+ SH0ES
0.0075,32.3312,0.373843,32.148581749170205,0.1826182508297975,,,Pantheon+ SH0ES
0.0075,32.2998,0.396652,32.148581749170205,0.1512182508297925,,,Pantheon+ SH0ES
0.00795,32.6418,0.362719,32.27566699760458,0.3661330023954221,,,Pantheon+ SH0ES
0.00814,32.7164,0.317031,32.32718796232446,0.3892120376755414,,,Pantheon+ SH0ES
0.00814,32.6151,0.317457,32.32718796232446,0.2879120376755395,,,Pantheon+ SH0ES
0.00814,32.7092,0.367554,32.32718796232446,0.382012037675544,,,Pantheon+ SH0ES
0.00815,32.3711,0.371926,32.329866325794484,0.0412336742055146,,,Pantheon+ SH0ES
0.00815,32.7434,0.280148,32.329866325794484,0.4135336742055173,,,Pantheon+ SH0ES
0.00815,32.6707,0.286975,32.329866325794484,0.3408336742055127,,,Pantheon+ SH0ES
0.00817,32.4455,0.490787,32.33521325250305,0.11028674749695,,,Pantheon+ SH0ES
0.00818,32.484,0.342662,32.33788183172783,0.1461181682721744,,,Pantheon+ SH0ES
0.00821,33.2138,0.462834,32.34586812818741,0.867931871812587,,,Pantheon+ SH0ES
0.00838,32.521,0.465611,32.39058222912372,0.1304177708762779,,,Pantheon+ SH0ES
0.00838,32.6922,0.484865,32.39058222912372,0.3016177708762768,,,Pantheon+ SH0ES
0.00855,32.6928,0.359218,32.43440243695546,0.2583975630445394,,,Pantheon+ SH0ES
0.00855,32.852,0.318032,32.43440243695546,0.4175975630445379,,,Pantheon+ SH0ES
0.00857,32.7527,0.26758,32.439500642395124,0.3131993576048728,,,Pantheon+ SH0ES
0.00861,32.7223,0.383433,32.44966162623568,0.2726383737643161,,,Pantheon+ SH0ES
0.00863,32.3744,0.338325,32.45472451426728,-0.080324514267275,,,Pantheon+ SH0ES
0.00863,32.3945,0.331296,32.45472451426728,-0.0602245142672757,,,Pantheon+ SH0ES
0.00863,32.335,0.337879,32.45472451426728,-0.1197245142672756,,,Pantheon+ SH0ES
0.00864,32.4198,0.425219,32.45725158110505,-0.0374515811050457,,,Pantheon+ SH0ES
0.00883,32.8616,0.327035,32.50472067058323,0.3568793294167705,,,Pantheon+ SH0ES
